Model,Baseline Type,RMSE,Baseline RMSE,MAE,Baseline MAE,Improvement (%),p-value,Significant,R²,Baseline R²,Predictive Power
LR_Base_mean,Mean,1.8644843154370143,1.9725800264519289,1.450904403653352,1.5762043592947383,5.479915114488199,0.4120611363942976,False,0.1065953553235643,0.0,0.0547991511448819
LR_Base_Random_mean,Mean,1.8681809771195863,1.9725800264519289,1.444121895403503,1.5762043592947383,5.292512746371293,0.3632186603477803,False,0.1030491858103755,0.0,0.0529251274637129
ElasticNet_LR_Base_Random_optuna_mean,Mean,1.8682220499373967,1.9765044902289703,1.4504984762638389,1.5653079044355709,5.478481876812184,0.8273311003333581,False,0.1030097456246513,-0.0039829741763948,0.0547848187681218
LR_Yeo_mean,Mean,1.9260960594485992,1.9725800264519289,1.471138633599078,1.5762043592947383,2.356506016485435,0.2350228402089585,False,0.0465748082691355,0.0,0.0235650601648543
LR_Yeo_Random_mean,Mean,1.9262529848967247,1.9725800264519289,1.4709583494374865,1.5762043592947383,2.3485506764727804,0.2398865873269386,False,0.0464194445014596,0.0,0.0234855067647278
XGBoost_Base_Random_categorical_optuna_median,Median,1.6134405039583906,1.8268716015322064,1.258722245909951,1.4242171717171717,11.68287346493372,0.1845429930393894,False,0.2158330453694482,-0.0053532259972421,0.1168287346493372
XGBoost_Yeo_Random_categorical_optuna_median,Median,1.6134405039583906,1.8268716015322064,1.258722245909951,1.4242171717171717,11.68287346493372,0.1845429930393894,False,0.2158330453694482,-0.0053532259972421,0.1168287346493372
LightGBM_Base_categorical_basic_median,Median,1.619492846595176,1.8268716015322064,1.278055749321509,1.4242171717171717,11.351578007075096,0.1450824185547627,False,0.209938872296534,-0.0053532259972421,0.1135157800707509
XGBoost_Yeo_categorical_optuna_median,Median,1.6290849104577538,1.8268716015322064,1.271946268466988,1.4242171717171717,10.826523928040038,0.1415955483329462,False,0.2005522800141667,-0.0053532259972421,0.1082652392804003
LightGBM_Yeo_Random_categorical_optuna_median,Median,1.634705051433729,1.8268716015322064,1.2905224411601657,1.4242171717171717,10.518886490835284,0.1896822291532983,False,0.1950267742260096,-0.0053532259972421,0.1051888649083528
CatBoost_Base_Random_categorical_basic_median,Median,1.6356480389042918,1.8268716015322064,1.286263780507756,1.4242171717171717,10.46726888017387,0.1590659930975368,False,0.1940978010087856,-0.0053532259972421,0.1046726888017387
