Model,Baseline Type,RMSE,Baseline RMSE,MAE,Baseline MAE,Improvement (%),p-value,Significant,R²,Baseline R²,Predictive Power
ElasticNet_LR_Base_Random_optuna_mean,Mean,1.8682220499373972,1.9725800264519289,1.4504984762638387,1.5762043592947383,5.29043055871553,0.23797077576167994,False,0.10300974562465137,0.0,0.052904305587155295
LR_Yeo_mean,Mean,1.9260960594485992,1.9725800264519289,1.471138633599078,1.5762043592947383,2.356506016485435,0.23502284020895856,False,0.046574808269135515,0.0,0.023565060164854348
LR_Yeo_Random_mean,Mean,1.9262529848967251,1.9725800264519289,1.4709583494374865,1.5762043592947383,2.3485506764727804,0.2398865873269386,False,0.04641944450145963,0.0,0.023485506764727805
XGBoost_Base_Random_categorical_optuna_median,Median,1.6134405039583906,1.8239048879818378,1.258722245909951,1.424217171717172,11.539219254811439,0.35800738704272306,False,0.21583304536944825,-0.002090628591271626,0.11539219254811439
XGBoost_Yeo_Random_categorical_optuna_median,Median,1.6134405039583906,1.8239048879818378,1.258722245909951,1.424217171717172,11.539219254811439,0.35800738704272306,False,0.21583304536944825,-0.002090628591271626,0.11539219254811439
LightGBM_Base_categorical_basic_median,Median,1.619492846595176,1.8239048879818378,1.278055749321509,1.424217171717172,11.207384920868606,0.2936511900503627,False,0.20993887229653407,-0.002090628591271626,0.11207384920868606
XGBoost_Yeo_categorical_optuna_median,Median,1.6290849104577538,1.8239048879818378,1.271946268466988,1.424217171717172,10.681476803302694,0.2873434569805819,False,0.2005522800141667,-0.002090628591271626,0.10681476803302693
LightGBM_Yeo_Random_categorical_optuna_median,Median,1.634705051433729,1.8239048879818378,1.2905224411601655,1.424217171717172,10.373338971499752,0.3648624016461691,False,0.19502677422600967,-0.002090628591271626,0.10373338971499753
CatBoost_Base_Random_categorical_basic_median,Median,1.6356480389042918,1.8239048879818378,1.2862637805077561,1.424217171717172,10.32163740105184,0.31586010305457707,False,0.1940978010087856,-0.002090628591271626,0.10321637401051839
CatBoost_Yeo_Random_categorical_basic_median,Median,1.6356480389042918,1.8239048879818378,1.2862637805077561,1.424217171717172,10.32163740105184,0.31586010305457707,False,0.1940978010087856,-0.002090628591271626,0.10321637401051839
CatBoost_Yeo_Random_categorical_optuna_median,Median,1.6413982744387885,1.8239048879818378,1.2841900520933944,1.424217171717172,10.006366820201574,0.4448793853437667,False,0.18842142913439808,-0.002090628591271626,0.10006366820201575
LightGBM_Base_categorical_optuna_median,Median,1.6423692595378767,1.8239048879818378,1.2905596688898866,1.424217171717172,9.953130212005265,0.3688004191495965,False,0.18746095074845848,-0.002090628591271626,0.09953130212005265
LightGBM_Base_Random_categorical_optuna_median,Median,1.6425442549779907,1.8239048879818378,1.2866205892212665,1.424217171717172,9.943535663448095,0.2576818030119918,False,0.18728778846725191,-0.002090628591271626,0.09943535663448096
CatBoost_Yeo_categorical_basic_median,Median,1.6447681369778266,1.8239048879818378,1.2876300999293044,1.424217171717172,9.82160595019991,0.28874178060869765,False,0.18508559564504168,-0.002090628591271626,0.09821605950199909
CatBoost_Base_categorical_basic_median,Median,1.6447752298811267,1.8239048879818378,1.287639499438214,1.424217171717172,9.821217064609067,0.2887081290210304,False,0.18507856715099325,-0.002090628591271626,0.09821217064609067
LightGBM_Yeo_categorical_basic_median,Median,1.6458533280709717,1.8239048879818378,1.3021601224473494,1.424217171717172,9.762107721959188,0.2926811740134068,False,0.184009906532135,-0.002090628591271626,0.09762107721959189
CatBoost_Yeo_categorical_optuna_median,Median,1.647391433858704,1.8239048879818378,1.2869986419538344,1.424217171717172,9.677777349368649,0.4654006437808462,False,0.18248405301763604,-0.002090628591271626,0.09677777349368648
CatBoost_Base_categorical_optuna_median,Median,1.6474105253628701,1.8239048879818378,1.2870181685124025,1.424217171717172,9.676730611444317,0.46549948018764664,False,0.18246510463751853,-0.002090628591271626,0.09676730611444316
LightGBM_Base_Random_categorical_basic_median,Median,1.6507070995077697,1.8239048879818378,1.2858574610881308,1.424217171717172,9.495987955035995,0.3250665415129259,False,0.17918995147387384,-0.002090628591271626,0.09495987955035995
XGBoost_Base_categorical_basic_median,Median,1.6510241763221263,1.8239048879818378,1.3017305953093248,1.424217171717172,9.478603451247128,0.7101401504528486,False,0.17887458985518345,-0.002090628591271626,0.09478603451247128
XGBoost_Yeo_categorical_basic_median,Median,1.6510241763221263,1.8239048879818378,1.3017305953093248,1.424217171717172,9.478603451247128,0.7101401504528486,False,0.17887458985518345,-0.002090628591271626,0.09478603451247128
LightGBM_Yeo_Random_categorical_basic_median,Median,1.651694318229214,1.8239048879818378,1.3033329442697053,1.424217171717172,9.441861299202712,0.34914509677409555,False,0.17820787372570923,-0.002090628591271626,0.09441861299202713
XGBoost_Base_categorical_optuna_median,Median,1.6529700098679598,1.8239048879818378,1.2926460575334955,1.424217171717172,9.371918417468494,0.26743593125942966,False,0.17693795569994752,-0.002090628591271626,0.09371918417468494
